college,town,state
Arizona_State, Phoenix, AZ
Brigham_Young,  Provo, UT
Brown,  Providence, RI
Colorado,  Boulder, CO
Duke,  Durham, NC
Florida_State,  Tallahassee, FL
Louisiana, Lafayette, LA
Louisville, Louisville, KY
Michigan,  Ann Arbor, MI
New_Mexico, Albuquerque, NM
North_Dakota,  Grand Forks, ND
Notre_Dame,  Notre Dame, IN
Ohio, Athens, OH
Oklahoma, Norman, OK
Oregon, Corvallis, OR
Pitt, Pittsburgh, PA
Stanford, Stanford, CA
Texas_A&M, College Station, TX
Wisconsin, Madison, WI 
Yale, New Haven, CT 
